name	agent	decision	reason
How Dare You Attack My Support! - Liáng Cí	gemini	DEMOTE	Liáng Cí is the author
How Dare You Attack My Support! - Liáng Cí	grok	DEMOTE	Liáng Cí, webnovel's author
Hunger Games Trilogy - Suzanne Collins	claude	DEMOTE	author
Hunger Games Trilogy - Suzanne Collins	codex	DEMOTE	author
Hunger Games Trilogy - Suzanne Collins	gemini	DEMOTE	Author disambiguator
Hunger Games Trilogy - Suzanne Collins	grok	DEMOTE	author name
IT (Movies - Muschietti)	claude	DEMOTE	director, inside parenthetical
IT (Movies - Muschietti)	codex	DEMOTE	director
IT (Movies - Muschietti)	gemini	DEMOTE	Director disambiguator
IT (Movies - Muschietti)	grok	DEMOTE	film director name
IT - Stephen King	claude	DEMOTE	author
IT - Stephen King	codex	DEMOTE	author
IT - Stephen King	gemini	DEMOTE	Author disambiguator
IT - Stephen King	grok	DEMOTE	author name
InuYasha - A Feudal Fairy Tale	claude	KEEP	real subtitle of InuYasha
InuYasha - A Feudal Fairy Tale	codex	KEEP	official series subtitle
InuYasha - A Feudal Fairy Tale	gemini	KEEP	Official subtitle of the series
InuYasha - A Feudal Fairy Tale	grok	KEEP	official series subtitle
Jasper Dent Series - Barry Lyga	codex	DEMOTE	Barry Lyga is the series author.
Jasper Dent Series - Barry Lyga	gemini	DEMOTE	Barry Lyga is the author
Jasper Dent Series - Barry Lyga	grok	DEMOTE	Barry Lyga, series author
KING Stephen - Works	claude	DEMOTE	"Works" is a qualifier
KING Stephen - Works	codex	DEMOTE	works category
KING Stephen - Works	gemini	DEMOTE	Creator works disambiguator
KING Stephen - Works	grok	DEMOTE	author works qualifier
Knights of the Old Republic II - The Sith Lords	codex	KEEP	The Sith Lords is the official sequel subtitle.
Knights of the Old Republic II - The Sith Lords	gemini	KEEP	Official video game subtitle
Knights of the Old Republic II - The Sith Lords	grok	KEEP	game's official subtitle
La Belle Dame Sans Merci - John Keats	codex	DEMOTE	John Keats is the poem’s author.
La Belle Dame Sans Merci - John Keats	gemini	DEMOTE	John Keats is the author
La Belle Dame Sans Merci - John Keats	grok	DEMOTE	John Keats, poem's author
Les Rougon-Macquart - Émile Zola	claude	DEMOTE	author
Les Rougon-Macquart - Émile Zola	codex	DEMOTE	author
Les Rougon-Macquart - Émile Zola	gemini	DEMOTE	Author disambiguator
Les Rougon-Macquart - Émile Zola	grok	DEMOTE	author name
Lightlark Series - Alex Aster	codex	DEMOTE	Alex Aster is the credited series author.
Lightlark Series - Alex Aster	gemini	DEMOTE	Alex Aster is the author
Lightlark Series - Alex Aster	grok	DEMOTE	Alex Aster, series author
Lights Out - Navessa Allen	codex	DEMOTE	Navessa Allen is the novel’s author.
Lights Out - Navessa Allen	gemini	DEMOTE	Navessa Allen is the author
Lights Out - Navessa Allen	grok	DEMOTE	Navessa Allen, novel's author
Looney Tunes - World of Mayhem	codex	KEEP	World of Mayhem is the game’s official subtitle.
Looney Tunes - World of Mayhem	gemini	KEEP	Official video game subtitle
Looney Tunes - World of Mayhem	grok	KEEP	official mobile-game subtitle
Madhouse at the End of the Earth - Julian Sancton	codex	DEMOTE	Julian Sancton is the book’s author.
Madhouse at the End of the Earth - Julian Sancton	gemini	DEMOTE	Julian Sancton is the author
Madhouse at the End of the Earth - Julian Sancton	grok	DEMOTE	Julian Sancton, book's author
Masters of Rome - Colleen McCullough	claude	DEMOTE	author
Masters of Rome - Colleen McCullough	codex	DEMOTE	author
Masters of Rome - Colleen McCullough	gemini	DEMOTE	Author disambiguator
Masters of Rome - Colleen McCullough	grok	DEMOTE	author name
Midcentury NYC Series - Cat Sebastian	claude	DEMOTE	author
Midcentury NYC Series - Cat Sebastian	codex	DEMOTE	author
Midcentury NYC Series - Cat Sebastian	gemini	DEMOTE	Author disambiguator
Midcentury NYC Series - Cat Sebastian	grok	DEMOTE	author name
Modao Zushi - Moxiang Tongxiu & Related Fandoms	claude	DEMOTE	author plus related-fandoms
Modao Zushi - Moxiang Tongxiu & Related Fandoms	codex	DEMOTE	author and related fandoms
Modao Zushi - Moxiang Tongxiu & Related Fandoms	gemini	DEMOTE	Author and fandom category disambiguator
Modao Zushi - Moxiang Tongxiu & Related Fandoms	grok	DEMOTE	author and related fandoms
Módào Zǔshī - Mòxiāng Tóngxiù	claude	DEMOTE	author, romanised
Módào Zǔshī - Mòxiāng Tóngxiù	codex	DEMOTE	author
Módào Zǔshī - Mòxiāng Tóngxiù	gemini	DEMOTE	Author disambiguator
Módào Zǔshī - Mòxiāng Tóngxiù	grok	DEMOTE	author name
Nemuri Kyoushirou - Shibata Renzaburou	codex	DEMOTE	Renzaburō Shibata is the credited creator.
Nemuri Kyoushirou - Shibata Renzaburou	gemini	DEMOTE	Shibata Renzaburou is the author
Nemuri Kyoushirou - Shibata Renzaburou	grok	DEMOTE	Shibata Renzaburō, series author
Nikolai Series - Leigh Bardugo	claude	DEMOTE	author
Nikolai Series - Leigh Bardugo	codex	DEMOTE	author
Nikolai Series - Leigh Bardugo	gemini	DEMOTE	Author disambiguator
Nikolai Series - Leigh Bardugo	grok	DEMOTE	author name
Nutcracker and the Mouse King - E. T. A. Hoffmann	claude	DEMOTE	author
Nutcracker and the Mouse King - E. T. A. Hoffmann	codex	DEMOTE	author
Nutcracker and the Mouse King - E. T. A. Hoffmann	gemini	DEMOTE	Author disambiguator
Nutcracker and the Mouse King - E. T. A. Hoffmann	grok	DEMOTE	author name
Omniscient Reader - Sing-Shong	claude	DEMOTE	author
Omniscient Reader - Sing-Shong	codex	DEMOTE	author
Omniscient Reader - Sing-Shong	gemini	DEMOTE	Author disambiguator
Omniscient Reader - Sing-Shong	grok	DEMOTE	author name
PRATCHETT Terry - Works	claude	DEMOTE	"Works" is a qualifier
PRATCHETT Terry - Works	codex	DEMOTE	works category
PRATCHETT Terry - Works	gemini	DEMOTE	Creator works disambiguator
PRATCHETT Terry - Works	grok	DEMOTE	author works qualifier
Percy Jackson and the Olympians - Rick Riordan	claude	DEMOTE	author
Percy Jackson and the Olympians - Rick Riordan	codex	DEMOTE	author
Percy Jackson and the Olympians - Rick Riordan	gemini	DEMOTE	Author disambiguator
Percy Jackson and the Olympians - Rick Riordan	grok	DEMOTE	author name
Picnic at Hanging Rock - Joan Lindsay	codex	DEMOTE	Joan Lindsay is the novel’s author.
Picnic at Hanging Rock - Joan Lindsay	gemini	DEMOTE	Joan Lindsay is the author
Picnic at Hanging Rock - Joan Lindsay	grok	DEMOTE	Joan Lindsay, novel's author
Political RPF - Irish 20th-21st c.	codex	DEMOTE	Irish period qualifier in Political RPF taxonomy.
Political RPF - Irish 20th-21st c.	gemini	DEMOTE	Nationality and era disambiguator
Political RPF - Irish 20th-21st c.	grok	DEMOTE	RPF era/region fandom qualifier
Pounded In The Butt By Fan Fiction Hosting Website AO3's Hugo Award Nomination - Chuck Tingle	codex	DEMOTE	Chuck Tingle is the work’s author.
Pounded In The Butt By Fan Fiction Hosting Website AO3's Hugo Award Nomination - Chuck Tingle	gemini	DEMOTE	Chuck Tingle is the author
Pounded In The Butt By Fan Fiction Hosting Website AO3's Hugo Award Nomination - Chuck Tingle	grok	DEMOTE	Chuck Tingle, story's author
Project Hail Mary - Andy Weir	claude	DEMOTE	author
Project Hail Mary - Andy Weir	codex	DEMOTE	author
Project Hail Mary - Andy Weir	gemini	DEMOTE	Author disambiguator
Project Hail Mary - Andy Weir	grok	DEMOTE	author name
Quánzhí Gāoshǒu - Húdié Lán	claude	DEMOTE	author Butterfly Blue
Quánzhí Gāoshǒu - Húdié Lán	codex	DEMOTE	author
Quánzhí Gāoshǒu - Húdié Lán	gemini	DEMOTE	Author disambiguator
Quánzhí Gāoshǒu - Húdié Lán	grok	DEMOTE	author name
Radio Silence - Alice Oseman	codex	DEMOTE	Alice Oseman is the credited author.
Radio Silence - Alice Oseman	gemini	DEMOTE	Alice Oseman is the author
Radio Silence - Alice Oseman	grok	DEMOTE	Alice Oseman, novel's author
Raven Cycle - Maggie Stiefvater	claude	DEMOTE	author
Raven Cycle - Maggie Stiefvater	codex	DEMOTE	author
Raven Cycle - Maggie Stiefvater	gemini	DEMOTE	Author disambiguator
Raven Cycle - Maggie Stiefvater	grok	DEMOTE	author name
Red White & Royal Blue - Casey McQuiston	claude	DEMOTE	author
Red White & Royal Blue - Casey McQuiston	codex	DEMOTE	author
Red White & Royal Blue - Casey McQuiston	gemini	DEMOTE	Author disambiguator
Red White & Royal Blue - Casey McQuiston	grok	DEMOTE	author name
Seveneves - Neal Stephenson	claude	DEMOTE	author
Seveneves - Neal Stephenson	codex	DEMOTE	author
Seveneves - Neal Stephenson	gemini	DEMOTE	Author disambiguator
Seveneves - Neal Stephenson	grok	DEMOTE	author name
Sherlock Holmes - Arthur Conan Doyle	claude	DEMOTE	author
Sherlock Holmes - Arthur Conan Doyle	codex	DEMOTE	author
Sherlock Holmes - Arthur Conan Doyle	gemini	DEMOTE	Author disambiguator
Sherlock Holmes - Arthur Conan Doyle	grok	DEMOTE	author name
Shetland - Ann Cleeves	codex	DEMOTE	Ann Cleeves wrote the Shetland series.
Shetland - Ann Cleeves	gemini	DEMOTE	Ann Cleeves is the author
Shetland - Ann Cleeves	grok	DEMOTE	Ann Cleeves, series author
Simon Snow Series - Rainbow Rowell	claude	DEMOTE	author
Simon Snow Series - Rainbow Rowell	codex	DEMOTE	author
Simon Snow Series - Rainbow Rowell	gemini	DEMOTE	Author disambiguator
Simon Snow Series - Rainbow Rowell	grok	DEMOTE	author name
Sins of the Fathers Series - Cora Reilly	codex	DEMOTE	Cora Reilly wrote the series.
Sins of the Fathers Series - Cora Reilly	gemini	DEMOTE	Cora Reilly is the author
Sins of the Fathers Series - Cora Reilly	grok	DEMOTE	Cora Reilly, series author
Six of Crows Series - Leigh Bardugo	claude	DEMOTE	author
Six of Crows Series - Leigh Bardugo	codex	DEMOTE	author
Six of Crows Series - Leigh Bardugo	gemini	DEMOTE	Author disambiguator
Six of Crows Series - Leigh Bardugo	grok	DEMOTE	author name
Star Wars Legends: Crucible - Troy Denning	codex	DEMOTE	Troy Denning is the credited author.
Star Wars Legends: Crucible - Troy Denning	gemini	DEMOTE	Troy Denning is the author
Star Wars Legends: Crucible - Troy Denning	grok	DEMOTE	Troy Denning, novel's author
Star Wars Legends: The Bounty Hunter Wars - K. W. Jeter	codex	DEMOTE	K. W. Jeter is the credited trilogy author.
Star Wars Legends: The Bounty Hunter Wars - K. W. Jeter	gemini	DEMOTE	K. W. Jeter is the author
Star Wars Legends: The Bounty Hunter Wars - K. W. Jeter	grok	DEMOTE	K. W. Jeter, trilogy's author
Strange Tales from a Chinese Studio - Pu Songling	codex	DEMOTE	Pu Songling is the collection’s author.
Strange Tales from a Chinese Studio - Pu Songling	gemini	DEMOTE	Pu Songling is the author
Strange Tales from a Chinese Studio - Pu Songling	grok	DEMOTE	Pu Songling, collection's author
Sucker Bait - Isaac Asimov	codex	DEMOTE	Isaac Asimov is the credited author.
Sucker Bait - Isaac Asimov	gemini	DEMOTE	Isaac Asimov is the author
Sucker Bait - Isaac Asimov	grok	DEMOTE	Isaac Asimov, novella's author
Talents Series - David Lubar	codex	DEMOTE	David Lubar is the series author.
Talents Series - David Lubar	gemini	DEMOTE	David Lubar is the author
Talents Series - David Lubar	grok	DEMOTE	David Lubar, series author
The Arcana Chronicles - Kresley Cole	codex	DEMOTE	Kresley Cole wrote the series.
The Arcana Chronicles - Kresley Cole	gemini	DEMOTE	Kresley Cole is the author
The Arcana Chronicles - Kresley Cole	grok	DEMOTE	Kresley Cole, series author
The Butterfly on the Bund - Zhang Yutong & Ye Jianfeng/Hua An & Zhao Xinyuan	codex	DEMOTE	Names are musical’s book, lyrics, and music creators.
The Butterfly on the Bund - Zhang Yutong & Ye Jianfeng/Hua An & Zhao Xinyuan	gemini	DEMOTE	Musical composers and lyricists
The Butterfly on the Bund - Zhang Yutong & Ye Jianfeng/Hua An & Zhao Xinyuan	grok	DEMOTE	musical composers and librettists
The Card Apprentice - Fang Xiang	codex	DEMOTE	Fang Xiang is the credited webnovel author.
The Card Apprentice - Fang Xiang	gemini	DEMOTE	Fang Xiang is the author
The Card Apprentice - Fang Xiang	grok	DEMOTE	Fang Xiang, webnovel's author
The Chronicles of Never After - Melissa de la Cruz	codex	DEMOTE	Melissa de la Cruz is the series author.
The Chronicles of Never After - Melissa de la Cruz	gemini	DEMOTE	Melissa de la Cruz is the author
The Chronicles of Never After - Melissa de la Cruz	grok	DEMOTE	Melissa de la Cruz, series author
The Divine Comedy - Dante Alighieri	codex	DEMOTE	Dante Alighieri is the poem’s author.
The Divine Comedy - Dante Alighieri	gemini	DEMOTE	Dante Alighieri is the author
The Divine Comedy - Dante Alighieri	grok	DEMOTE	Dante Alighieri, poem's author
The Emperor's Edge Series - Lindsay Buroker	codex	DEMOTE	Lindsay Buroker is the credited series author.
The Emperor's Edge Series - Lindsay Buroker	gemini	DEMOTE	Lindsay Buroker is the author
The Emperor's Edge Series - Lindsay Buroker	grok	DEMOTE	Lindsay Buroker, series author
The Four Great Constables Series - Woon Swee Oan	codex	DEMOTE	Woon Swee Oan wrote the novel series.
The Four Great Constables Series - Woon Swee Oan	gemini	DEMOTE	Woon Swee Oan is the author
The Four Great Constables Series - Woon Swee Oan	grok	DEMOTE	Woon Swee Oan, wuxia author
The Goblin Emperor Series - Katherine Addison	claude	DEMOTE	author
The Goblin Emperor Series - Katherine Addison	codex	DEMOTE	author
The Goblin Emperor Series - Katherine Addison	gemini	DEMOTE	Author disambiguator
The Goblin Emperor Series - Katherine Addison	grok	DEMOTE	author name
The Grave Robbers' Chronicles - Xu Lei	claude	DEMOTE	author
The Grave Robbers' Chronicles - Xu Lei	codex	DEMOTE	author
The Grave Robbers' Chronicles - Xu Lei	gemini	DEMOTE	Author disambiguator
The Grave Robbers' Chronicles - Xu Lei	grok	DEMOTE	author name
The Heroes of Olympus - Rick Riordan	claude	DEMOTE	author
The Heroes of Olympus - Rick Riordan	codex	DEMOTE	author
The Heroes of Olympus - Rick Riordan	gemini	DEMOTE	Author disambiguator
The Heroes of Olympus - Rick Riordan	grok	DEMOTE	author name
The Hobbit - J. R. R. Tolkien	claude	DEMOTE	author
The Hobbit - J. R. R. Tolkien	codex	DEMOTE	author
The Hobbit - J. R. R. Tolkien	gemini	DEMOTE	Author disambiguator
The Hobbit - J. R. R. Tolkien	grok	DEMOTE	author name
The Lord of the Rings - J. R. R. Tolkien	claude	DEMOTE	author
The Lord of the Rings - J. R. R. Tolkien	codex	DEMOTE	author
The Lord of the Rings - J. R. R. Tolkien	gemini	DEMOTE	Author disambiguator
The Lord of the Rings - J. R. R. Tolkien	grok	DEMOTE	author name
The Mortal Instruments Series - Cassandra Clare	claude	DEMOTE	author
The Mortal Instruments Series - Cassandra Clare	codex	DEMOTE	author
The Mortal Instruments Series - Cassandra Clare	gemini	DEMOTE	Author disambiguator
The Mortal Instruments Series - Cassandra Clare	grok	DEMOTE	author name
The Outsiders - S. E. Hinton	claude	DEMOTE	author
The Outsiders - S. E. Hinton	codex	DEMOTE	author
The Outsiders - S. E. Hinton	gemini	DEMOTE	Author disambiguator
The Outsiders - S. E. Hinton	grok	DEMOTE	author name
The Peasants - Władysław Reymont	codex	DEMOTE	Władysław Reymont is the credited author.
The Peasants - Władysław Reymont	gemini	DEMOTE	Władysław Reymont is the author
The Peasants - Władysław Reymont	grok	DEMOTE	Władysław Reymont, novel's author
The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù	claude	DEMOTE	author
The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù	codex	DEMOTE	author
The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù	gemini	DEMOTE	Author disambiguator
The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù	grok	DEMOTE	author name
The Shadowhunter Chronicles - Cassandra Clare	claude	DEMOTE	author
The Shadowhunter Chronicles - Cassandra Clare	codex	DEMOTE	author
The Shadowhunter Chronicles - Cassandra Clare	gemini	DEMOTE	Author disambiguator
The Shadowhunter Chronicles - Cassandra Clare	grok	DEMOTE	author name
The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien	claude	DEMOTE	author
The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien	codex	DEMOTE	author
The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien	gemini	DEMOTE	Author disambiguator
The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien	grok	DEMOTE	author name
The Smiling Proud Wanderer - Jin Yong	codex	DEMOTE	Jin Yong is the novel’s author.
The Smiling Proud Wanderer - Jin Yong	gemini	DEMOTE	Jin Yong is the author
The Smiling Proud Wanderer - Jin Yong	grok	DEMOTE	Jin Yong, novel's author
The Three Musketeers (Movies - Lester)	claude	DEMOTE	director, inside parenthetical
The Three Musketeers (Movies - Lester)	codex	DEMOTE	director
The Three Musketeers (Movies - Lester)	gemini	DEMOTE	Director disambiguator
The Three Musketeers (Movies - Lester)	grok	DEMOTE	film director name
The Three Musketeers - Ludwig	codex	DEMOTE	Ludwig is adaptor Ken Ludwig.
The Three Musketeers - Ludwig	gemini	DEMOTE	Ken Ludwig is the playwright
The Three Musketeers - Ludwig	grok	DEMOTE	Ken Ludwig, play adapter
The Undivine Comedy - Zygmunt Krasiński	codex	DEMOTE	Zygmunt Krasiński wrote the play.
The Undivine Comedy - Zygmunt Krasiński	gemini	DEMOTE	Zygmunt Krasiński is the author
The Undivine Comedy - Zygmunt Krasiński	grok	DEMOTE	Zygmunt Krasiński, play's author
The Unofficial History of the Wulin - Gǔ Lóng	claude	DEMOTE	author Gu Long
